Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,MIX_AIC,25,1785.526,66.591,71.421,79.453,90.542
0,_Z17ComputeFAMetadataPv,AI_CPU,5,142.263,20.903,28.453,40.346,7.214
0,Fill,AI_VECTOR_CORE,25,33.845,1.26,1.354,1.46,1.716
0,ClipByValueV2,AI_VECTOR_CORE,5,10.402,1.96,2.08,2.2,0.527
