Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
flash_attn_npu_4::_flash_attn_forward,,,158.87,226.78,0,26.759999999999998,0,0
aten::empty_like,,,6.44,15.58,0,0,0,0
empty_tensor,,,9.14,9.14,0,0,0,0
aten::empty,,,2.02,4.77,0,0,0,0
empty_tensor,,,2.75,2.75,0,0,0,0
aten::empty,,,0.9,6.94,0,0,0,0
empty_tensor,,,6.04,6.04,0,0,0,0
aten::fill_,,,12.76,22.8,0,1.42,0,0
aclnnInplaceFillScalar,,,10.04,10.04,1.42,1.42,0,0
aten::empty,,,7.95,11.92,0,0,0,0
empty_tensor,,,3.97,3.97,0,0,0,0
ascendc_fa_infer,,,5.9,5.9,25.34,25.34,0,0
aten::view,,,8.88,8.88,0,0,0,0
record_event,,,9.37,9.37,0.0,0.0,0,0
record_event,,,2.44,2.44,0.02,0.02,0,0
record_event,,,1.93,1.93,0.02,0.02,0,0
aten::arange,,,14.33,49.81,0,11.72,0,0
empty_tensor,,,19.72,19.72,0,0,0,0
aclnnArange,,,15.76,15.76,11.72,11.72,0,0
aten::mul,,,16.14,31.01,0,1.54,0,0
empty_tensor,,,5.27,5.27,0,0,0,0
aten::item,,,1.44,2.64,0,0,0,0
aten::_local_scalar_dense,,,1.2,1.2,0,0,0,0
aclnnMuls,,,6.96,6.96,1.54,1.54,0,0
aten::to,,,1.2,1.2,0,0,0,0
aten::clamp_min,,,10.59,21.06,0,2.38,0,0
empty_tensor,,,4.48,4.48,0,0,0,0
aclnnClampMin,,,5.99,5.99,2.38,2.38,0,0
aten::empty,,,3.23,7.8,0,0,0,0
empty_tensor,,,4.57,4.57,0,0,0,0
ascendc_fa_metadata,,,6.33,6.33,31.464,31.464,0,0
FlashAttnVarlenFunc,,,67.5,231.53,0,27.944000000000003,0,0
flash_attn_npu_4::_flash_attn_forward,,,110.31,164.03,0,27.944000000000003,0,0
aten::empty_like,,,5.89,15.02,0,0,0,0
empty_tensor,,,9.13,9.13,0,0,0,0
aten::empty,,,1.91,6.73,0,0,0,0
empty_tensor,,,4.82,4.82,0,0,0,0
aten::empty,,,0.83,2.87,0,0,0,0
empty_tensor,,,2.04,2.04,0,0,0,0
aten::fill_,,,12.88,21.86,0,1.42,0,0
aclnnInplaceFillScalar,,,8.98,8.98,1.42,1.42,0,0
aten::empty,,,1.41,5.51,0,0,0,0
empty_tensor,,,4.1,4.1,0,0,0,0
ascendc_fa_infer,,,1.73,1.73,26.524,26.524,0,0
aten::view,,,8.6,8.6,0,0,0,0
record_event,,,9.65,9.65,0.0,0.0,0,0
record_event,,,3.19,3.19,0.0,0.0,0,0
record_event,,,13.54,13.54,0.0,0.0,0,0
