Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
flash_attn_npu_4::_flash_attn_forward,,,119.0,177.13,0,28.259999999999998,0,0
aten::empty_like,,,6.34,14.08,0,0,0,0
empty_tensor,,,7.74,7.74,0,0,0,0
aten::empty,,,1.7,4.15,0,0,0,0
empty_tensor,,,2.45,2.45,0,0,0,0
aten::empty,,,0.83,5.9,0,0,0,0
empty_tensor,,,5.07,5.07,0,0,0,0
aten::fill_,,,11.98,19.64,0,1.38,0,0
aclnnInplaceFillScalar,,,7.66,7.66,1.38,1.38,0,0
aten::empty,,,1.23,8.93,0,0,0,0
empty_tensor,,,7.7,7.7,0,0,0,0
ascendc_fa_infer,,,5.43,5.43,26.88,26.88,0,0
aten::view,,,14.32,14.32,0,0,0,0
record_event,,,8.14,8.14,0.0,0.0,0,0
record_event,,,2.0,2.0,0.0,0.0,0,0
record_event,,,1.66,1.66,0.02,0.02,0,0
aten::arange,,,13.3,44.99,0,11.06,0,0
empty_tensor,,,17.9,17.9,0,0,0,0
aclnnArange,,,13.79,13.79,11.06,11.06,0,0
aten::mul,,,15.09,28.07,0,1.56,0,0
empty_tensor,,,4.82,4.82,0,0,0,0
aten::item,,,1.42,2.76,0,0,0,0
aten::_local_scalar_dense,,,1.34,1.34,0,0,0,0
aclnnMuls,,,5.4,5.4,1.56,1.56,0,0
aten::to,,,1.0,1.0,0,0,0,0
aten::clamp_min,,,14.57,27.4,0,2.42,0,0
empty_tensor,,,4.51,4.51,0,0,0,0
aclnnClampMin,,,8.32,8.32,2.42,2.42,0,0
aten::empty,,,2.15,7.83,0,0,0,0
empty_tensor,,,5.68,5.68,0,0,0,0
ascendc_fa_metadata,,,5.34,5.34,44.22,44.22,0,0
FlashAttnVarlenFunc,,,61.07,236.42,0,28.08,0,0
flash_attn_npu_4::_flash_attn_forward,,,109.75,175.35,0,28.08,0,0
aten::empty_like,,,5.67,13.71,0,0,0,0
empty_tensor,,,8.04,8.04,0,0,0,0
aten::empty,,,1.7,17.2,0,0,0,0
empty_tensor,,,15.5,15.5,0,0,0,0
aten::empty,,,1.14,9.81,0,0,0,0
empty_tensor,,,8.67,8.67,0,0,0,0
aten::fill_,,,11.32,18.36,0,1.38,0,0
aclnnInplaceFillScalar,,,7.04,7.04,1.38,1.38,0,0
aten::empty,,,1.31,5.27,0,0,0,0
empty_tensor,,,3.96,3.96,0,0,0,0
ascendc_fa_infer,,,1.25,1.25,26.7,26.7,0,0
aten::view,,,10.09,10.09,0,0,0,0
record_event,,,8.98,8.98,0.02,0.02,0,0
record_event,,,13.53,13.53,0.0,0.0,0,0
record_event,,,1.91,1.91,0.0,0.0,0,0
