Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,MIX_AIC,5,135.74,26.7,27.148,28.12,38.69
0,_Z17ComputeFAMetadataPv,AI_CPU,5,133.54,23,26.708,30.1,38.063
0,Range,AI_VECTOR_CORE,5,54.08,10.62,10.816,11.06,15.414
0,ClipByValueV2,AI_VECTOR_CORE,5,12.22,2.32,2.444,2.5,3.483
0,Mul,AI_VECTOR_CORE,5,8.26,1.38,1.652,1.94,2.354
0,Fill,AI_VECTOR_CORE,5,7,1.38,1.4,1.44,1.995
