Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,61,92,FusedInferAttentionScore,FusedInferAttentionScore,dynamic,MIX_AIC,1788939195717820.198	,25.864,0,20,40,NO,"""32,16,128;128,128,256;128,128,256;;;8;8;;;;;;;;8,16;;;;;;;;;;;;;;;;""",DT_BF16;DT_BF16;DT_BF16;DT_UNDEFINED;DT_UNDEFINED;INT64;INT64;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;INT32;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED,ND;ND;ND;NULL;NULL;ND;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL,"""32,16,128;""",DT_BF16;FLOAT,ND;ND,0,18.771,619429,0.41,0.022,15.908,0.848,0.748,0.04,4.107,0.219,2.0,0.107,0.0,19.241,1269876,0.669,0.035,11.164,0.58,1.914,0.099,1.022,0.053,0.051,72.574
0,4294967295,62,92,FusedInferAttentionScore,FusedInferAttentionScore,dynamic,MIX_AIC,1788939195718124.946	,23.020,278.886000,20,40,NO,"""32,16,128;128,128,256;128,128,256;;;8;8;;;;;;;;8,16;;;;;;;;;;;;;;;;""",DT_BF16;DT_BF16;DT_BF16;DT_UNDEFINED;DT_UNDEFINED;INT64;INT64;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;INT32;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED,ND;ND;ND;NULL;NULL;ND;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL,"""32,16,128;""",DT_BF16;FLOAT,ND;ND,0,17.416,574729,0.41,0.024,14.298,0.821,0.763,0.044,1.613,0.093,0.647,0.037,0.0,18.586,1226643,0.669,0.036,11.757,0.633,2.346,0.126,0.367,0.02,0.051,75.656
0,4294967295,63,92,FusedInferAttentionScore,FusedInferAttentionScore,dynamic,MIX_AIC,1788939195718411.090	,22.964,262.980000,20,40,NO,"""32,16,128;128,128,256;128,128,256;;;8;8;;;;;;;;8,16;;;;;;;;;;;;;;;;""",DT_BF16;DT_BF16;DT_BF16;DT_UNDEFINED;DT_UNDEFINED;INT64;INT64;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;INT32;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED,ND;ND;ND;NULL;NULL;ND;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL,"""32,16,128;""",DT_BF16;FLOAT,ND;ND,0,17.451,575897,0.409,0.023,14.342,0.822,0.766,0.044,1.589,0.091,0.648,0.037,0.0,18.496,1220715,0.669,0.036,11.864,0.641,2.253,0.122,0.382,0.021,0.051,75.995
0,4294967295,64,92,FusedInferAttentionScore,FusedInferAttentionScore,dynamic,MIX_AIC,1788939195718689.498	,22.780,255.536000,20,40,NO,"""32,16,128;128,128,256;128,128,256;;;8;8;;;;;;;;8,16;;;;;;;;;;;;;;;;""",DT_BF16;DT_BF16;DT_BF16;DT_UNDEFINED;DT_UNDEFINED;INT64;INT64;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;INT32;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED,ND;ND;ND;NULL;NULL;ND;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL,"""32,16,128;""",DT_BF16;FLOAT,ND;ND,0,17.18,566929,0.411,0.024,14.035,0.817,0.764,0.044,1.653,0.096,0.659,0.038,0.0,18.285,1206802,0.669,0.037,11.622,0.636,2.304,0.126,0.404,0.022,0.051,75.416
0,4294967295,65,92,FusedInferAttentionScore,FusedInferAttentionScore,dynamic,MIX_AIC,1788939195718966.582	,23.040,254.220000,20,40,NO,"""32,16,128;128,128,256;128,128,256;;;8;8;;;;;;;;8,16;;;;;;;;;;;;;;;;""",DT_BF16;DT_BF16;DT_BF16;DT_UNDEFINED;DT_UNDEFINED;INT64;INT64;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;INT32;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED,ND;ND;ND;NULL;NULL;ND;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL,"""32,16,128;""",DT_BF16;FLOAT,ND;ND,0,17.371,573229,0.408,0.023,14.318,0.824,0.764,0.044,1.591,0.092,0.652,0.038,0.0,18.59,1226959,0.669,0.036,11.854,0.638,2.247,0.121,0.363,0.02,0.051,75.393
